,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,txHash,withPrice
41,4434,https://storage.googleapis.com/assets.axieinfinity.com/axies/4434/axie/axie-full-transparent.png,Reptile,ronin,Axie #4434,1528916007,Normal,3108,Reptile,4111,Reptile,4,,5,1,49,45,31,39,0x3d434011da236dcc7c0e89102657290c3f57081e,0xf521bb7437bec77b0b15286dc3f49a87b9946773,1537917327,0x22bcd2210802ceddde05be406f0071d79468fd152b92d4fefebc795a10b94fb2,0.1960162
42,4435,https://storage.googleapis.com/assets.axieinfinity.com/axies/4435/axie/axie-full-transparent.png,Bird,ronin,"Uniq, one parent",1528916039,Normal,3704,Bug,4200,Bird,4,,7,1,33,49,35,47,0xd1f5c1f9eee5c792946b8961461c689e97c8b46e,0x9611925d2f413b19a9a1e710e3a1a5828a20cfcf,1548874204,0x688b71e4d4688578cfb9569cb44cafd4cf11a44af1b152720555473ef185532b,0.020000001
43,4435,https://storage.googleapis.com/assets.axieinfinity.com/axies/4435/axie/axie-full-transparent.png,Bird,ronin,"Uniq, one parent",1528916039,Normal,3704,Bug,4200,Bird,4,,7,1,33,49,35,47,0xcf4b92828c30f9691545e2d719ee35d4947a2de3,0xd1f5c1f9eee5c792946b8961461c689e97c8b46e,1548860436,0x6099101c1840e76b0b402de8d9030904f84adef51f5530b5dc5ff8b3a5e06794,0.020678548
44,4435,https://storage.googleapis.com/assets.axieinfinity.com/axies/4435/axie/axie-full-transparent.png,Bird,ronin,"Uniq, one parent",1528916039,Normal,3704,Bug,4200,Bird,4,,7,1,33,49,35,47,0xfeb6155c82eefb666cf06f93cae14232b2972887,0x477d449f8e0021fc6d372311d60d1ae3cb843a8f,1548264591,0x408571822aacd5ca1759f2d56ab72775e7c3876a3f534dad4cadc20eadb5dec9,0.05
45,4435,https://storage.googleapis.com/assets.axieinfinity.com/axies/4435/axie/axie-full-transparent.png,Bird,ronin,"Uniq, one parent",1528916039,Normal,3704,Bug,4200,Bird,4,,7,1,33,49,35,47,0x3d434011da236dcc7c0e89102657290c3f57081e,0xf521bb7437bec77b0b15286dc3f49a87b9946773,1537917349,0xb208104da119882b995c2b26c4ef9d228ce79f2b747ce685f56e812fa4db517f,0.19593056
46,4435,https://storage.googleapis.com/assets.axieinfinity.com/axies/4435/axie/axie-full-transparent.png,Bird,ronin,"Uniq, one parent",1528916039,Normal,3704,Bug,4200,Bird,4,,7,1,33,49,35,47,0x5b925e0ad4d6067f4f684625d9c148a1857c1792,0x423c36017d63e6255d59795232bd65cfb65857c1,1625535688,0x1001c1f4bec74a5317def5102df51892a7ea9ed481384ec10df90a22abd9a144,0.05
47,4435,https://storage.googleapis.com/assets.axieinfinity.com/axies/4435/axie/axie-full-transparent.png,Bird,ronin,"Uniq, one parent",1528916039,Normal,3704,Bug,4200,Bird,4,,7,1,33,49,35,47,0x198aa5819f287cbc2676ddf7b8cb90fd3bcd7cb0,0x5b925e0ad4d6067f4f684625d9c148a1857c1792,1625432490,0x7cba389c5bd7276091cc29227c8f31c81bf4f8458ed5a55d07b4277b4452fb7a,0.1
48,4443,https://storage.googleapis.com/assets.axieinfinity.com/axies/4443/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4443,1528941614,Normal,0,,0,,4,MEO Corp,1,1,44,51,35,34,0x4ce15b37851a4448a28899062906a02e51dee267,0xa6bcec585f12cefba9709a080ce2efd38f871024,1536139890,0xc6d1f3228873f67d37365c735643cfbd19b6d879c6a4bd65f52680097dd8f238,0.095000006
49,4444,https://storage.googleapis.com/assets.axieinfinity.com/axies/4444/axie/axie-full-transparent.png,Plant,ronin,4444,1528941625,Fuzzy,0,,0,,4,MEO Corp,7,1,52,41,31,40,0x4ce15b37851a4448a28899062906a02e51dee267,0xf431f892e916098d4fe3c6e91233bc0c628d7129,1625538634,0x46a0821ea877109214e8b98f4288bd9b2951d22d3069b791711f13495cbb0555,1.0
50,4445,https://storage.googleapis.com/assets.axieinfinity.com/axies/4445/axie/axie-full-transparent.png,Aquatic,ronin,R1 Shrimp,1528959592,Normal,0,,0,,4,MEO Corp,2,1,46,49,35,34,0x870ba8006efa44c8adf0097086b6271a52646bf1,0x18ad111b2584b55093b5b4cbce9374c3a0e8cfed,1581012806,0x7d5a9dd3cfcd5a3460364da67d7dd9f393463fd2fa8142fc4e96d7d1e1834dac,0.1527088
