txHash,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,withPrice
0x3723a1e2d82b7f7870b0e7a6317044fddf31909edc8bbbe8df6552e1a002d1c4,1789740,https://storage.googleapis.com/assets.axieinfinity.com/axies/1789740/axie/axie-full-transparent.png,Plant,ronin,"!42s, Poison, Heal, Goda!",1625825361,Fuzzy,36073,Plant,36446,Plant,4,,2,1,51,42,31,40,0x0f0ff3a0b4c8682271206c534f4ecf5dcb750a89,0x171ad640779418f204f8228cbb29b193dbe671da,1629356917,0.099
0x37484815bd73d6eeb350db0fcb682b1d4078335855a376609f68999ccb5efd3a,1789740,https://storage.googleapis.com/assets.axieinfinity.com/axies/1789740/axie/axie-full-transparent.png,Plant,ronin,"!42s, Poison, Heal, Goda!",1625825361,Fuzzy,36073,Plant,36446,Plant,4,,2,1,51,42,31,40,0xd5eafed5224272e180abaeb4756911200124eccf,0xc6485b7e3f4f277996994b2751486ad731a0e66e,1626745242,0.14920834
0x30e0543f71f373412d2136ef1e5edd500d1567b2040c3b70fd1df952d99848eb,5941814,https://storage.googleapis.com/assets.axieinfinity.com/axies/5941814/axie/axie-full-transparent.png,Plant,ronin,Snail 9-17,1631377411,Normal,8355,Plant,17018,Plant,4,,3,1,59,31,31,43,0x65a2ef1ce435639829a6363a1041e7d22c1291f0,0x3ecde42e559e2a9416dce77f4bb3362413f1350e,1631910164,0.08223959
0xd86f4d1e1cbdb4fa730bdfc6eba256e2b0effd84ffa4c68457fe87abec2dc953,2570977,https://storage.googleapis.com/assets.axieinfinity.com/axies/2570977/axie/axie-full-transparent.png,Aquatic,ronin,2.5K MMR ANTI-TERMI ,1626911065,Normal,39565,Aquatic,59103,Aquatic,4,,2,1,48,51,35,30,0xc86d124b467b07adf58fe0fe4bef8b03c62c2f21,0x3528ed07546a8168b1b00d07b3671aadb0ce2fba,1628652105,0.1509
0x0906e0351969cdd976dba1afaf0eb4b892eeb6280c237bf06516a66718af5e08,3355746,https://storage.googleapis.com/assets.axieinfinity.com/axies/3355746/axie/axie-full-transparent.png,Aquatic,ronin,Top rank mid killer nimo,1628011236,WetDog,49179,Aquatic,42388,Aquatic,4,,2,1,47,52,35,30,0x892e8cfdbb0fced83d380beeb856f12e827cc0e2,0x347538d22850672ad27a77e31de39b0509404dad,1630497396,0.072
0xd8d889fe2c5a287e5e7141e2b825cb90c774cdf9e705e67a213b1471d01547ce,3355746,https://storage.googleapis.com/assets.axieinfinity.com/axies/3355746/axie/axie-full-transparent.png,Aquatic,ronin,Top rank mid killer nimo,1628011236,WetDog,49179,Aquatic,42388,Aquatic,4,,2,1,47,52,35,30,0x5833fd60c6e476c21947cf17058480b7686d6e80,0x892e8cfdbb0fced83d380beeb856f12e827cc0e2,1630431869,0.056
0xd3225f2b713550be16535bb0334ae4e2362176c8428097e7f38931d72e3472a1,3355746,https://storage.googleapis.com/assets.axieinfinity.com/axies/3355746/axie/axie-full-transparent.png,Aquatic,ronin,Top rank mid killer nimo,1628011236,WetDog,49179,Aquatic,42388,Aquatic,4,,2,1,47,52,35,30,0xe941173da24222cf3d041a7f02c8679d569e0b81,0xb9b249c863625df5a5f4f19702b9990c396f2640,1628867193,0.1055
0xffa7b13b702b4a867408346ad628b478a1f70d955b770f5b0d67c1672f98d2e3,3355746,https://storage.googleapis.com/assets.axieinfinity.com/axies/3355746/axie/axie-full-transparent.png,Aquatic,ronin,Top rank mid killer nimo,1628011236,WetDog,49179,Aquatic,42388,Aquatic,4,,2,1,47,52,35,30,0x68d02a083e608c6661f7891c733b0d529e4ae5a9,0xe941173da24222cf3d041a7f02c8679d569e0b81,1628526170,0.099
0x56206a3a222766cd617c528c3974a7f82079de633984b50063358058c1ae9e54,3355746,https://storage.googleapis.com/assets.axieinfinity.com/axies/3355746/axie/axie-full-transparent.png,Aquatic,ronin,Top rank mid killer nimo,1628011236,WetDog,49179,Aquatic,42388,Aquatic,4,,2,1,47,52,35,30,0xee4107f8dbb8ff851ed96327be8e5e7607c3824e,0x68d02a083e608c6661f7891c733b0d529e4ae5a9,1628492288,0.102900006
0xd066485dee6f35f7313c8a6b1d140d2f64d20dbd9da3b4299ecd498ba30f29cb,3503786,https://storage.googleapis.com/assets.axieinfinity.com/axies/3503786/axie/axie-full-transparent.png,Aquatic,ronin,Axie #3503786,1628173805,Normal,55536,Aquatic,54522,Aquatic,4,,4,1,45,57,35,27,0x1f3dfdb4410d813fbbc0350a300be8d30e553dcc,0x17b59eb7119d8945de33e2ac6de409c14a88ea3c,1629392578,0.14989999
0x0c0da52ae90265f3998ba504aa79fe0079096c0d7c9e07aae08054473a32628c,935920,https://storage.googleapis.com/assets.axieinfinity.com/axies/935920/axie/axie-full-transparent.png,Reptile,ronin,Axie #935920,1624222638,Normal,58782,Reptile,63980,Reptile,4,,3,1,49,47,31,37,0x993fc3a0a8ccc80499ca3d68f1a962c92e75cd77,0xc044810d0594a9d801a618b53978dda5292e46b1,1631877452,0.044632755
0xcc254b6f1347327ff48cbf32b701063b20352120be450140d752193a00ceae24,935920,https://storage.googleapis.com/assets.axieinfinity.com/axies/935920/axie/axie-full-transparent.png,Reptile,ronin,Axie #935920,1624222638,Normal,58782,Reptile,63980,Reptile,4,,3,1,49,47,31,37,0xd53e592a177e0244f37da0696c31b844f7d93587,0xc58238f90c038708304f8e23af4792989a159180,1631838761,0.044
0xb90d6b7f58e9e15c47af4728b615db484ece5a280d9f8bcfbbe9d4b8ce1b4b2a,935920,https://storage.googleapis.com/assets.axieinfinity.com/axies/935920/axie/axie-full-transparent.png,Reptile,ronin,Axie #935920,1624222638,Normal,58782,Reptile,63980,Reptile,4,,3,1,49,47,31,37,0x2008338508b6e88f8b963d9117e805e7d35daaa9,0x9a9cfee788489836a87e8ae498044f21ba35f81f,1625070497,0.09061594
0xfe5261df77f33f01200710244a8169b215b96e7d4c1cf99f121ae049b177d98d,5542062,https://storage.googleapis.com/assets.axieinfinity.com/axies/5542062/axie/axie-full-transparent.png,Beast,ronin,TERMINATOR BUDDY,1630788135,Fuzzy,59434,Beast,58350,Beast,4,,2,1,34,43,31,56,0x560a8ca543c21868833632703a0123d028c82617,0x5f1827d14b940e6688ba6781b6c3129708a4dcf8,1631630347,0.078564875
0x333140c79f85231ed7624cab5deb6208c2bd8732a1013851d65658770266334f,2634471,https://storage.googleapis.com/assets.axieinfinity.com/axies/2634471/axie/axie-full-transparent.png,Plant,ronin,Super Tank and Stun,1627002388,BigYak,13618,Plant,13854,Plant,4,,3,1,61,32,31,40,0x42fb26b35621914177b76b3af3f9dd265ef12ebb,0x6df8c943438b6300879a59b40bccec15ce9328ca,1629410200,0.11
0xd92a49ede499ec92a7c9e29b35af44ec2e6784585ccb70800de8792387904ff7,2634471,https://storage.googleapis.com/assets.axieinfinity.com/axies/2634471/axie/axie-full-transparent.png,Plant,ronin,Super Tank and Stun,1627002388,BigYak,13618,Plant,13854,Plant,4,,3,1,61,32,31,40,0x7eb9a90816cc8ea442cc8d438e5cd8221ba5fef3,0x42fb26b35621914177b76b3af3f9dd265ef12ebb,1628180816,0.17195046
